Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
tap-cleaner-limescale-remover,Tap cleaner & limescale remover,"<p>Melts hard water stains off taps, showerheads and fittings. Two sprays, wipe, done. No scrubbing and no acid burn.</p>",Purelane,Bathroom,"bestsellers,bathroom,single",TRUE,Size,500ml,PL-TAP-500,620,shopify,142,deny,manual,200,299,TRUE,TRUE,active
kitchen-cleaner-foaming,"Kitchen cleaner, foaming","<p>Cuts grease on contact. Plant-derived surfactants lift baked-on cooking residue from hobs, tiles and chimney filters.</p>",Purelane,Kitchen,"bestsellers,kitchen,single",TRUE,Size,500ml,PL-KIT-500,640,shopify,208,deny,manual,200,299,TRUE,TRUE,active
copper-bronze-brass-cleaner,"Copper, bronze & brass cleaner","<p>Brings tarnished metal back without abrasives. Safe on temple ware, handles, cookware and decor.</p>",Purelane,Home,"bestsellers,home,single",TRUE,Size,300ml,PL-MET-300,410,shopify,96,deny,manual,200,299,TRUE,TRUE,active
dishwash-gel,"Dishwash gel, organic","<p>Squeaky clean dishes with none of the dryness. Coconut-derived cleansers rinse away completely, so hands stay soft.</p>",Purelane,Kitchen,"bestsellers,kitchen,single",TRUE,Size,500ml,PL-DSH-500,660,shopify,174,deny,manual,200,299,TRUE,TRUE,active
laundry-detergent,"Laundry detergent, non-toxic","<p>Removes tough stains and odour at any temperature. No optical brighteners, no synthetic fragrance, safe for septic tanks.</p>",Purelane,Laundry,"bestsellers,laundry,single",TRUE,Size,1L,PL-LAU-1000,1180,shopify,131,deny,manual,200,299,TRUE,TRUE,active
floor-cleaner,"Floor cleaner, natural herbal","<p>Kills 99.9% of germs with neem and citrus, not with chlorine. Safe around crawling babies and paws.</p>",Purelane,Home,"bestsellers,home,single",TRUE,Size,1L,PL-FLR-1000,1160,shopify,155,deny,manual,200,299,TRUE,TRUE,active
toilet-cleaner,"Toilet cleaner, non-toxic",<p>Fights limescale in the bowl and kills 99.9% of germs without hydrochloric acid fumes.</p>,Purelane,Bathroom,"bestsellers,bathroom,single",TRUE,Size,500ml,PL-TOI-500,650,shopify,118,deny,manual,200,299,TRUE,TRUE,active
liquid-handwash,"Liquid handwash, gentle hydrating","<p>Gentle hydration for hands that get washed twenty times a day. Glycerin-rich, pH balanced, lightly scented with lemongrass.</p>",Purelane,Skin,"bestsellers,skin,single",TRUE,Size,250ml,PL-HND-250,300,shopify,203,deny,manual,200,299,TRUE,TRUE,active
washing-machine-cleaner,Washing machine cleaner & descaler,"<p>Deep-cleans the drum, seal and pipes your eye never reaches. One sachet a month keeps the machine odour free.</p><p><strong>Back in stock soon.</strong></p>",Purelane,Laundry,"laundry,single,sold-out",TRUE,Size,Pack of 6,PL-WMC-006,520,shopify,0,deny,manual,200,299,TRUE,TRUE,active
magic-eraser,Magic eraser,"<p>Scrubs away soap scum, crayon and scuff marks with water alone. No detergent needed.</p><p><em>Photography in progress.</em></p>",Purelane,Home,"home,single,no-image",TRUE,Size,Pack of 2,PL-ERA-002,90,shopify,240,deny,manual,150,229,TRUE,TRUE,active
kitchen-degreaser-refill-pouch,"Purelane Concentrated Multi-Surface Kitchen Degreaser with Cold-Pressed Lemon Peel Extract and Plant-Derived Surfactants, 500ml Refill Pouch Makes Two Full Litres",<p>The same foaming kitchen cleaner in a concentrate. One pouch refills your spray bottle four times and ships with 82% less plastic.</p>,Purelane,Kitchen,"kitchen,refill,long-title",TRUE,Size,500ml refill,PL-KIT-RFL,540,shopify,64,deny,manual,340,499,TRUE,TRUE,active
kitchen-essentials-combo,Kitchen essentials,"<p>Everything for a sparkling kitchen, no need to pick separately.</p>",Purelane,Combo,"combos,kitchen",TRUE,Title,Default Title,PL-CMB-KIT,1820,shopify,74,deny,manual,499,897,TRUE,TRUE,active
laundry-care-bundle,Laundry care bundle,"<p>Softer, fresher wash, all in one box.</p>",Purelane,Combo,"combos,laundry",TRUE,Title,Default Title,PL-CMB-LAU,2400,shopify,58,deny,manual,499,947,TRUE,TRUE,active
complete-home-bundle,Complete home bundle,"<p>Our biggest saving box. Kitchen, laundry, floors, bathroom and hands.</p>",Purelane,Combo,"combos,home",TRUE,Title,Default Title,PL-CMB-HOM,3900,shopify,41,deny,manual,799,1495,TRUE,TRUE,active
bathroom-deep-clean,Bathroom deep clean,<p>A complete bathroom refresh in one box.</p>,Purelane,Combo,"combos,bathroom",TRUE,Title,Default Title,PL-CMB-BAT,1390,shopify,66,deny,manual,499,897,TRUE,TRUE,active
hard-water-solution-kit,Hard water solution kit,"<p>A quick, focused fix for hard water stains across the home.</p>",Purelane,Combo,"combos,bathroom",TRUE,Title,Default Title,PL-CMB-HWS,1270,shopify,89,deny,manual,349,598,TRUE,TRUE,active
